shipment_id,customer_id,origin_port,destination_port,container_type,booking_lead_days,transshipment_count,port_congestion_score,weather_risk_score,historical_delay_rate,carrier_reliability_score
TRN_00084,CUS_B,LAX,HAM,45HC,27,2,0.664,0.403,0.267,0.586
TRN_00085,CUS_B,LAX,SIN,40GP,16,3,0.144,0.517,0.068,0.854
TRN_00086,CUS_A,RTM,SIN,40HC,7,0,0.447,0.508,0.465,0.948
TRN_00087,CUS_A,SHA,SHA,40HC,17,3,0.376,0.482,0.275,0.897
TRN_00088,CUS_A,SHA,PUS,40HC,22,1,0.505,0.31,0.199,0.782
TRN_00089,CUS_A,PUS,HAM,20GP,17,1,0.491,0.298,0.46,0.751
TRN_00090,CUS_D,HAM,SHA,45HC,13,1,0.456,0.371,0.039,0.725
TRN_00091,CUS_D,RTM,RTM,40GP,21,2,0.633,0.492,0.378,0.69
TRN_00092,CUS_B,PUS,SHA,45HC,9,1,0.741,0.411,0.07,0.398
TRN_00093,CUS_B,RTM,PUS,40GP,4,3,0.355,0.651,0.232,0.472
TRN_00094,CUS_C,HAM,SIN,40HC,26,1,0.26,0.541,0.264,0.871
TRN_00095,CUS_C,SIN,PUS,40HC,21,1,0.086,0.426,0.173,0.756
TRN_00096,CUS_D,RTM,HAM,40HC,22,0,0.784,0.541,0.091,0.911
TRN_00097,CUS_A,PUS,HKG,45HC,26,2,0.188,0.132,0.154,0.68
TRN_00098,CUS_D,SHA,RTM,20GP,21,3,0.332,0.503,0.289,0.751
TRN_00099,CUS_C,HAM,RTM,45HC,1,2,0.377,0.386,0.384,0.582
TRN_00100,CUS_D,HKG,PUS,45HC,25,3,0.233,0.606,0.099,0.797
TRN_00101,CUS_B,HAM,HAM,20GP,2,1,0.349,0.296,0.1,0.643
TRN_00102,CUS_C,HAM,RTM,40HC,21,2,0.738,0.253,0.226,0.736
TRN_00103,CUS_A,SGN,LAX,40HC,29,3,0.025,0.577,0.111,0.678
TRN_00104,CUS_D,LAX,HAM,40HC,12,2,0.261,0.134,0.105,0.811
TRN_00105,CUS_B,RTM,HAM,40HC,10,0,0.255,0.246,0.059,0.834
TRN_00106,CUS_A,SIN,HKG,45HC,27,3,0.497,0.513,0.352,0.485
TRN_00107,CUS_C,HAM,RTM,40GP,14,0,0.154,0.305,0.454,0.905
TRN_00108,CUS_B,SHA,SHA,45HC,27,0,0.254,0.342,0.18,0.669
TRN_00109,CUS_D,HKG,RTM,20GP,9,0,0.251,0.651,0.393,0.84
TRN_00110,CUS_A,LAX,SIN,40HC,6,2,0.381,0.38,0.14,0.834
TRN_00111,CUS_A,HAM,PUS,40HC,17,3,0.303,0.383,0.34,0.664
TRN_00112,CUS_B,HAM,PUS,40HC,11,2,0.208,0.259,0.256,0.803
TRN_00113,CUS_A,SHA,SHA,45HC,21,1,0.592,0.033,0.181,0.892
TRN_00114,CUS_D,HKG,HAM,20GP,9,1,0.671,0.031,0.109,0.608
TRN_00115,CUS_D,LAX,HKG,20GP,23,2,0.517,0.501,0.192,0.956
TRN_00116,CUS_C,HAM,PUS,20GP,11,0,0.719,0.174,0.081,0.739
TRN_00117,CUS_C,SGN,SHA,40GP,11,0,0.213,0.07,0.066,0.415
TRN_00118,CUS_A,SIN,PUS,40HC,21,1,0.519,0.279,0.192,0.623
TRN_00119,CUS_D,SIN,PUS,40GP,8,1,0.258,0.492,0.313,0.6
TRN_00120,CUS_D,SIN,PUS,40GP,9,2,0.563,0.269,0.259,0.787
TRN_00121,CUS_A,SHA,PUS,40HC,16,2,0.412,0.285,0.182,0.378
TRN_00122,CUS_C,LAX,HAM,40HC,10,0,0.501,0.721,0.305,0.888
TRN_00123,CUS_C,SGN,SIN,40GP,12,0,0.172,0.145,0.44,0.662
TRN_00124,CUS_A,HAM,SIN,40GP,10,0,0.611,0.095,0.248,0.777
TRN_00125,CUS_A,PUS,SHA,45HC,19,1,0.665,0.411,0.17,0.967
TRN_00126,CUS_A,LAX,RTM,40GP,10,2,0.033,0.136,0.301,0.86
TRN_00127,CUS_B,HKG,SHA,40GP,18,1,0.092,0.071,0.113,0.823
TRN_00128,CUS_A,SIN,HKG,20GP,7,0,0.553,0.469,0.455,0.645
TRN_00129,CUS_C,HKG,PUS,45HC,26,0,0.301,0.295,0.097,0.825
TRN_00130,CUS_A,SHA,HAM,45HC,28,2,0.378,0.481,0.08,0.726
TRN_00131,CUS_B,LAX,SGN,40HC,1,1,0.113,0.228,0.224,0.847
TRN_00132,CUS_A,SHA,PUS,20GP,4,3,0.42,0.102,0.219,0.644
TRN_00133,CUS_C,PUS,LAX,40GP,3,2,0.488,0.133,0.215,0.697
TRN_00134,CUS_B,SIN,HKG,20GP,6,1,0.578,0.555,0.261,0.761
TRN_00135,CUS_B,SIN,HAM,40HC,23,0,0.749,0.382,0.301,0.641
TRN_00136,CUS_B,LAX,PUS,45HC,8,2,0.088,0.38,0.148,0.793
TRN_00137,CUS_D,SIN,SIN,40HC,17,1,0.311,0.302,0.169,0.623
TRN_00138,CUS_C,PUS,SHA,20GP,8,2,0.452,0.145,0.118,0.498
TRN_00139,CUS_A,HKG,RTM,40HC,2,1,0.451,0.339,0.118,0.703
TRN_00140,CUS_D,RTM,HAM,40HC,3,0,0.44,0.776,0.262,0.375
TRN_00141,CUS_A,HKG,SIN,45HC,28,3,0.299,0.189,0.426,0.79
TRN_00142,CUS_C,SIN,HKG,20GP,17,0,0.282,0.642,0.457,0.932
TRN_00143,CUS_D,HAM,SGN,45HC,19,2,0.286,0.482,0.44,0.724
TRN_00144,CUS_D,SIN,SGN,20GP,6,0,0.116,0.608,0.077,0.662
TRN_00145,CUS_D,LAX,LAX,45HC,15,3,0.259,0.733,0.187,0.944
TRN_00146,CUS_B,PUS,PUS,40HC,20,1,0.381,0.176,0.11,0.968
TRN_00147,CUS_D,HKG,RTM,40GP,23,2,0.703,0.104,0.106,0.526
TRN_00148,CUS_D,RTM,SGN,40HC,20,0,0.638,0.465,0.172,0.752
TRN_00149,CUS_B,HAM,RTM,45HC,18,3,0.723,0.455,0.128,0.845
TRN_00150,CUS_C,HKG,LAX,40GP,19,0,0.208,0.142,0.34,0.917
TRN_00151,CUS_B,HAM,SGN,45HC,11,0,0.357,0.551,0.209,0.863
TRN_00152,CUS_B,SIN,LAX,40HC,21,1,0.69,0.421,0.206,0.939
TRN_00153,CUS_B,RTM,SGN,40GP,9,2,0.792,0.381,0.654,0.954
TRN_00154,CUS_A,SHA,HAM,45HC,21,1,0.408,0.115,0.241,0.663
TRN_00155,CUS_B,LAX,HAM,40HC,14,1,0.171,0.603,0.375,0.938
TRN_00156,CUS_D,HKG,HKG,45HC,17,0,0.331,0.754,0.268,0.753
TRN_00157,CUS_A,RTM,HKG,40HC,14,2,0.367,0.328,0.234,0.938
TRN_00158,CUS_A,HKG,SGN,40HC,17,1,0.477,0.357,0.292,0.655
TRN_00159,CUS_C,SHA,SIN,45HC,21,3,0.697,0.288,0.1,0.947
TRN_00160,CUS_C,SGN,PUS,45HC,9,1,0.354,0.451,0.167,0.651
TRN_00161,CUS_C,HKG,RTM,40HC,14,2,0.739,0.047,0.4,0.916
TRN_00162,CUS_B,HKG,SIN,45HC,12,1,0.735,0.3,0.578,0.493
TRN_00163,CUS_D,PUS,HKG,40GP,1,0,0.705,0.516,0.043,0.902
TRN_00164,CUS_A,SHA,HKG,40GP,25,2,0.213,0.207,0.209,0.778
TRN_00165,CUS_C,RTM,SHA,40HC,20,2,0.566,0.588,0.157,0.793
TRN_00166,CUS_D,LAX,SGN,20GP,2,3,0.131,0.749,0.049,0.905
TRN_00167,CUS_A,SHA,HAM,40GP,3,2,0.171,0.586,0.148,0.683
TRN_00168,CUS_D,SGN,SIN,45HC,27,2,0.661,0.329,0.025,0.809
TRN_00169,CUS_D,HKG,LAX,45HC,25,0,0.206,0.456,0.44,0.889
TRN_00170,CUS_B,SIN,PUS,40GP,22,3,0.175,0.227,0.105,0.722
TRN_00171,CUS_B,SIN,SHA,45HC,21,0,0.677,0.838,0.107,0.931
TRN_00172,CUS_B,RTM,SIN,45HC,25,2,0.359,0.114,0.217,0.773
TRN_00173,CUS_C,RTM,PUS,20GP,18,2,0.218,0.733,0.107,0.871
TRN_00174,CUS_D,SGN,PUS,20GP,1,3,0.262,0.571,0.175,0.752
TRN_00175,CUS_A,LAX,HKG,40GP,14,1,0.678,0.158,0.195,0.605
TRN_00176,CUS_C,PUS,SHA,40GP,10,1,0.07,0.513,0.063,0.66
TRN_00177,CUS_B,PUS,RTM,40HC,5,0,0.73,0.35,0.298,0.78
TRN_00178,CUS_A,HAM,PUS,40GP,25,1,0.704,0.29,0.126,0.776
TRN_00179,CUS_C,HKG,PUS,40HC,19,3,0.346,0.275,0.296,0.798
TRN_00180,CUS_B,SHA,SHA,40GP,27,0,0.219,0.285,0.158,0.588
TRN_00181,CUS_C,PUS,RTM,40HC,4,3,0.142,0.39,0.061,0.683
TRN_00182,CUS_C,HAM,PUS,45HC,29,0,0.792,0.683,0.037,0.719
TRN_00183,CUS_B,SGN,HAM,45HC,18,1,0.189,0.06,0.23,0.732
TRN_00184,CUS_B,SIN,SIN,40HC,17,1,0.144,0.123,0.476,0.679
TRN_00185,CUS_C,SIN,SHA,40HC,6,3,0.441,0.092,0.109,0.697
TRN_00186,CUS_A,LAX,HAM,45HC,19,2,0.783,0.564,0.076,0.981
TRN_00187,CUS_A,HKG,SGN,40HC,18,3,0.715,0.364,0.352,0.629
TRN_00188,CUS_A,HAM,HAM,45HC,21,3,0.209,0.154,0.458,0.805
TRN_00189,CUS_C,SGN,HAM,40HC,5,2,0.314,0.304,0.269,0.695
TRN_00190,CUS_C,LAX,SHA,40HC,19,2,0.09,0.423,0.085,0.69
TRN_00191,CUS_D,SGN,SIN,45HC,3,2,0.161,0.15,0.085,0.886
TRN_00192,CUS_D,RTM,HAM,20GP,3,2,0.487,0.351,0.503,0.875
TRN_00193,CUS_C,SIN,HKG,40HC,14,3,0.433,0.4,0.495,0.597
TRN_00194,CUS_C,HAM,LAX,40HC,4,1,0.07,0.035,0.329,0.664
TRN_00195,CUS_B,HAM,HKG,40HC,21,2,0.429,0.488,0.02,0.814
TRN_00196,CUS_D,SGN,SGN,20GP,14,1,0.182,0.62,0.386,0.847
TRN_00197,CUS_B,SGN,HAM,45HC,7,1,0.19,0.45,0.335,0.924
TRN_00198,CUS_D,HKG,SHA,20GP,8,1,0.38,0.249,0.093,0.848
TRN_00199,CUS_A,RTM,LAX,20GP,15,0,0.277,0.324,0.202,0.566
TRN_00200,CUS_B,HAM,SHA,40GP,18,3,0.78,0.196,0.314,0.813
TRN_00201,CUS_B,PUS,LAX,40GP,24,1,0.412,0.437,0.308,0.899
TRN_00202,CUS_B,HAM,SGN,40HC,17,2,0.196,0.557,0.244,0.738
TRN_00203,CUS_D,SGN,SIN,45HC,16,0,0.616,0.204,0.368,0.868
TRN_00204,CUS_B,SHA,HAM,40HC,18,2,0.354,0.363,0.029,0.598
TRN_00205,CUS_D,SHA,SHA,40HC,18,0,0.533,0.306,0.5,0.674
TRN_00206,CUS_B,RTM,HKG,45HC,11,2,0.277,0.463,0.274,0.707
TRN_00207,CUS_A,LAX,SIN,45HC,7,1,0.486,0.492,0.135,0.668
TRN_00208,CUS_D,SHA,LAX,40HC,16,0,0.079,0.34,0.27,0.376
TRN_00209,CUS_C,SGN,SGN,45HC,4,1,0.529,0.153,0.415,0.422
TRN_00210,CUS_C,LAX,RTM,45HC,8,0,0.269,0.213,0.203,0.721
TRN_00211,CUS_C,SGN,LAX,20GP,5,0,0.156,0.325,0.265,0.813
TRN_00212,CUS_B,HAM,LAX,45HC,15,3,0.453,0.451,0.085,0.704
TRN_00213,CUS_D,SGN,SGN,45HC,29,3,0.133,0.645,0.419,0.762
TRN_00214,CUS_D,SGN,SIN,40HC,26,3,0.301,0.741,0.373,0.906
TRN_00215,CUS_B,RTM,RTM,40HC,3,0,0.499,0.125,0.452,0.748
TRN_00216,CUS_C,SIN,HAM,45HC,24,2,0.611,0.589,0.417,0.673
TRN_00217,CUS_A,SGN,LAX,20GP,5,2,0.486,0.339,0.173,0.685
TRN_00218,CUS_B,PUS,SGN,40GP,27,1,0.203,0.789,0.451,0.573
TRN_00219,CUS_A,LAX,PUS,40GP,6,2,0.337,0.28,0.324,0.797
TRN_00220,CUS_B,PUS,PUS,40HC,4,1,0.078,0.458,0.559,0.659
TRN_00221,CUS_D,HKG,SHA,20GP,23,3,0.335,0.469,0.254,0.952
TRN_00222,CUS_B,SGN,RTM,40HC,25,0,0.326,0.368,0.183,0.915
TRN_00223,CUS_C,PUS,SHA,45HC,12,1,0.716,0.508,0.441,0.296
TRN_00224,CUS_D,SIN,LAX,40HC,16,3,0.353,0.057,0.363,0.899
TRN_00225,CUS_D,SGN,HKG,40HC,23,0,0.21,0.194,0.056,0.588
TRN_00226,CUS_B,HAM,LAX,40HC,25,3,0.477,0.275,0.327,0.779
TRN_00227,CUS_A,PUS,LAX,40HC,13,2,0.299,0.224,0.213,0.298
TRN_00228,CUS_D,RTM,RTM,40GP,23,3,0.521,0.168,0.326,0.813
TRN_00229,CUS_D,RTM,PUS,20GP,24,2,0.35,0.14,0.357,0.914
TRN_00230,CUS_D,SGN,RTM,20GP,23,3,0.435,0.542,0.093,0.844
TRN_00231,CUS_A,RTM,HKG,40GP,26,3,0.31,0.4,0.503,0.606
TRN_00232,CUS_A,SGN,SGN,45HC,25,3,0.379,0.068,0.257,0.849
TRN_00233,CUS_C,PUS,HAM,45HC,13,0,0.341,0.344,0.261,0.814
TRN_00234,CUS_C,PUS,RTM,20GP,10,3,0.534,0.234,0.113,0.508
TRN_00235,CUS_C,SIN,SHA,45HC,29,1,0.114,0.399,0.223,0.606
TRN_00236,CUS_A,SHA,LAX,20GP,13,3,0.355,0.797,0.49,0.884
TRN_00237,CUS_A,RTM,LAX,45HC,28,0,0.389,0.148,0.231,0.835
TRN_00238,CUS_B,LAX,SIN,20GP,29,0,0.753,0.231,0.579,0.634
TRN_00239,CUS_C,PUS,SHA,40HC,1,2,0.587,0.21,0.208,0.518
TRN_00240,CUS_A,SIN,SGN,20GP,5,0,0.295,0.22,0.075,0.889
TRN_00241,CUS_B,HKG,SGN,45HC,17,1,0.78,0.093,0.295,0.445
TRN_00242,CUS_C,SIN,RTM,20GP,3,1,0.417,0.373,0.267,0.814
TRN_00243,CUS_D,HAM,HAM,45HC,20,0,0.587,0.206,0.092,0.632
TRN_00244,CUS_C,SIN,HKG,40HC,1,2,0.595,0.307,0.049,0.799
TRN_00245,CUS_C,PUS,RTM,40HC,25,2,0.787,0.208,0.079,0.781
TRN_00246,CUS_B,SIN,PUS,40HC,13,2,0.433,0.786,0.253,0.69
TRN_00247,CUS_A,HAM,SIN,20GP,20,1,0.694,0.423,0.198,0.842
TRN_00248,CUS_C,SHA,HKG,45HC,14,0,0.231,0.402,0.26,0.598
TRN_00249,CUS_C,SHA,SHA,40HC,20,0,0.677,0.483,0.087,0.9
TRN_00250,CUS_A,HAM,HAM,40HC,20,1,0.498,0.354,0.311,0.597
TRN_00251,CUS_D,SHA,RTM,20GP,9,0,0.438,0.827,0.048,0.84
TRN_00252,CUS_B,PUS,PUS,40GP,24,2,0.299,0.404,0.152,0.747
TRN_00253,CUS_D,HKG,LAX,40HC,24,3,0.718,0.205,0.291,0.785
TRN_00254,CUS_B,LAX,LAX,40HC,10,1,0.459,0.262,0.364,0.715
TRN_00255,CUS_C,SHA,LAX,45HC,2,2,0.446,0.625,0.052,0.848
TRN_00256,CUS_A,SHA,HAM,20GP,13,3,0.387,0.159,0.2,0.884
TRN_00257,CUS_D,HKG,RTM,40HC,20,1,0.05,0.036,0.14,0.629
TRN_00258,CUS_D,LAX,SGN,45HC,23,0,0.658,0.208,0.129,0.716
TRN_00259,CUS_C,RTM,HKG,40GP,6,1,0.188,0.595,0.113,0.478
TRN_00260,CUS_B,RTM,SGN,40HC,14,0,0.679,0.495,0.307,0.828
TRN_00261,CUS_A,HKG,RTM,40GP,23,3,0.631,0.486,0.198,0.726
TRN_00262,CUS_C,SGN,SGN,45HC,16,3,0.434,0.107,0.218,0.915
TRN_00263,CUS_B,SIN,HAM,45HC,23,0,0.155,0.097,0.292,0.324
TRN_00264,CUS_C,PUS,SIN,20GP,20,1,0.133,0.165,0.357,0.893
TRN_00265,CUS_A,HAM,SGN,40HC,6,0,0.429,0.444,0.196,0.652
TRN_00266,CUS_B,LAX,HKG,40GP,7,3,0.396,0.418,0.255,0.964
TRN_00267,CUS_B,HAM,HAM,45HC,24,3,0.098,0.064,0.285,0.676
TRN_00268,CUS_C,PUS,HKG,40GP,21,1,0.382,0.391,0.292,0.937
TRN_00269,CUS_B,PUS,HAM,45HC,25,2,0.12,0.556,0.301,0.937
TRN_00270,CUS_B,SGN,RTM,40HC,9,2,0.248,0.777,0.193,0.93
TRN_00271,CUS_C,SIN,SHA,40GP,2,3,0.445,0.266,0.23,0.948
TRN_00272,CUS_A,PUS,SHA,20GP,7,3,0.101,0.124,0.017,0.784
TRN_00273,CUS_A,SGN,HAM,40HC,13,2,0.194,0.245,0.113,0.824
TRN_00274,CUS_C,HKG,PUS,40GP,4,1,0.308,0.309,0.102,0.821
TRN_00275,CUS_A,PUS,SGN,20GP,6,2,0.503,0.767,0.296,0.782
TRN_00276,CUS_A,SHA,PUS,40HC,5,2,0.379,0.133,0.25,0.752
TRN_00277,CUS_D,RTM,LAX,20GP,4,2,0.163,0.636,0.456,0.678
TRN_00278,CUS_A,LAX,SIN,45HC,12,0,0.369,0.281,0.281,0.764
TRN_00279,CUS_D,LAX,SHA,20GP,24,0,0.455,0.395,0.264,0.751
TRN_00280,CUS_B,SHA,HKG,45HC,11,2,0.205,0.316,0.199,0.915
TRN_00281,CUS_B,HAM,SHA,20GP,9,3,0.38,0.952,0.192,0.925
TRN_00282,CUS_C,SIN,LAX,40HC,16,3,0.756,0.34,0.103,0.928
TRN_00283,CUS_A,SHA,HAM,45HC,19,2,0.194,0.081,0.069,0.757
TRN_00284,CUS_B,PUS,HAM,45HC,11,3,0.591,0.387,0.232,0.769
TRN_00285,CUS_B,HAM,PUS,20GP,1,0,0.811,0.296,0.432,0.788
TRN_00286,CUS_A,SHA,SHA,40HC,9,3,0.211,0.229,0.317,0.9
TRN_00287,CUS_B,LAX,HAM,40HC,3,0,0.205,0.213,0.3,0.905
TRN_00288,CUS_B,HKG,PUS,40HC,5,1,0.637,0.418,0.513,0.832
TRN_00289,CUS_C,LAX,SIN,40GP,18,1,0.236,0.653,0.25,0.405
TRN_00290,CUS_B,LAX,SIN,45HC,6,0,0.167,0.165,0.173,0.946
TRN_00291,CUS_B,LAX,LAX,45HC,11,1,0.203,0.186,0.373,0.838
TRN_00292,CUS_A,HKG,PUS,40GP,12,2,0.712,0.478,0.162,0.89
TRN_00293,CUS_C,SGN,SIN,40HC,26,0,0.139,0.516,0.102,0.761
TRN_00294,CUS_D,PUS,SHA,40GP,5,0,0.104,0.571,0.223,0.784
TRN_00295,CUS_D,HAM,SIN,45HC,3,1,0.344,0.177,0.123,0.706
TRN_00296,CUS_D,LAX,HAM,40HC,16,0,0.726,0.445,0.355,0.56
TRN_00297,CUS_B,HKG,RTM,45HC,19,3,0.472,0.439,0.059,0.634
TRN_00298,CUS_D,SHA,HAM,40GP,15,1,0.449,0.305,0.346,0.435
TRN_00299,CUS_A,SGN,PUS,40GP,21,2,0.8,0.594,0.349,0.872
TRN_00300,CUS_B,SIN,HKG,20GP,26,2,0.247,0.358,0.289,0.791
TRN_00301,CUS_D,HAM,SIN,20GP,18,1,0.473,0.133,0.402,0.757
TRN_00302,CUS_C,LAX,PUS,40GP,16,1,0.195,0.69,0.29,0.55
TRN_00303,CUS_C,HKG,PUS,20GP,20,0,0.401,0.105,0.086,0.668
TRN_00304,CUS_D,SHA,SHA,20GP,7,3,0.514,0.351,0.441,0.833
TRN_00305,CUS_A,HAM,LAX,40GP,8,3,0.428,0.59,0.197,0.923
TRN_00306,CUS_D,SHA,SHA,45HC,11,2,0.445,0.263,0.478,0.759
