shipment_id,customer_id,origin_port,destination_port,container_type,booking_lead_days,transshipment_count,port_congestion_score,weather_risk_score,historical_delay_rate,carrier_reliability_score
SHP_00062,CUS_D,SGN,LAX,45HC,3,0,0.311,0.326,0.059,0.719
SHP_00063,CUS_C,SHA,PUS,45HC,20,1,0.586,0.127,0.338,0.898
SHP_00064,CUS_D,SHA,LAX,40HC,2,3,0.338,0.165,0.472,0.518
SHP_00065,CUS_C,LAX,SIN,40HC,25,0,0.659,0.045,0.021,0.634
SHP_00066,CUS_D,LAX,HAM,40GP,2,0,0.88,0.528,0.564,0.918
SHP_00067,CUS_A,HKG,PUS,40HC,2,3,0.607,0.085,0.299,0.872
SHP_00068,CUS_D,HKG,SHA,20GP,29,0,0.59,0.206,0.25,0.745
SHP_00069,CUS_A,RTM,LAX,40GP,14,1,0.21,0.756,0.128,0.304
SHP_00070,CUS_A,RTM,SHA,20GP,14,0,0.411,0.359,0.043,0.254
SHP_00071,CUS_C,SHA,SHA,40HC,22,2,0.439,0.194,0.057,0.724
SHP_00072,CUS_B,RTM,HKG,40HC,8,1,0.498,0.357,0.14,0.502
SHP_00073,CUS_D,SIN,SIN,40GP,12,3,0.5,0.6,0.058,0.648
SHP_00074,CUS_D,LAX,HKG,40GP,13,2,0.165,0.099,0.341,0.713
SHP_00075,CUS_D,SGN,PUS,45HC,7,0,0.371,0.258,0.515,0.58
SHP_00076,CUS_C,SIN,SIN,40GP,16,2,0.866,0.165,0.289,0.719
SHP_00077,CUS_A,SIN,HAM,40HC,1,0,0.762,0.414,0.068,0.788
SHP_00078,CUS_A,HAM,LAX,20GP,25,1,0.257,0.343,0.389,0.784
SHP_00079,CUS_A,PUS,HAM,40HC,1,0,0.547,0.236,0.513,0.803
SHP_00080,CUS_B,SIN,SIN,40GP,6,2,0.347,0.602,0.071,0.922
SHP_00081,CUS_A,SIN,SGN,45HC,6,3,0.196,0.147,0.293,0.82
SHP_00082,CUS_D,SIN,SIN,40HC,15,0,0.475,0.274,0.074,0.858
SHP_00083,CUS_D,SHA,SGN,40HC,27,2,0.284,0.175,0.137,0.682
SHP_00084,CUS_A,SGN,HKG,45HC,18,2,0.786,0.47,0.336,0.62
SHP_00085,CUS_A,SHA,PUS,45HC,17,3,0.322,0.73,0.191,0.812
SHP_00086,CUS_C,HAM,SIN,45HC,20,0,0.554,0.121,0.246,0.889
SHP_00087,CUS_A,SGN,HKG,20GP,9,2,0.327,0.151,0.237,0.861
SHP_00088,CUS_D,SGN,SIN,40HC,25,2,0.296,0.219,0.154,0.701
SHP_00089,CUS_C,SHA,RTM,20GP,21,2,0.366,0.214,0.273,0.823
SHP_00090,CUS_D,HAM,HAM,20GP,27,3,0.207,0.503,0.26,0.719
SHP_00091,CUS_D,LAX,RTM,20GP,15,2,0.456,0.221,0.189,0.852
SHP_00092,CUS_D,PUS,LAX,20GP,22,3,0.409,0.153,0.42,0.909
SHP_00093,CUS_B,LAX,HKG,45HC,21,0,0.212,0.193,0.128,0.866
SHP_00094,CUS_C,LAX,HAM,45HC,2,3,0.344,0.64,0.419,0.876
SHP_00095,CUS_B,SGN,HAM,40HC,8,0,0.096,0.671,0.277,0.887
SHP_00096,CUS_D,HKG,LAX,40HC,21,1,0.239,0.154,0.382,0.822
SHP_00097,CUS_D,SHA,HKG,45HC,19,0,0.26,0.172,0.217,0.892
SHP_00098,CUS_B,SHA,LAX,20GP,6,3,0.651,0.684,0.315,0.832
SHP_00099,CUS_C,SIN,SIN,20GP,27,0,0.155,0.423,0.141,0.829
SHP_00100,CUS_C,SIN,SIN,40HC,24,1,0.581,0.529,0.284,0.72
SHP_00101,CUS_A,SGN,HKG,40HC,22,0,0.365,0.421,0.481,0.81
SHP_00102,CUS_A,SHA,SHA,40GP,24,3,0.809,0.209,0.213,0.916
SHP_00103,CUS_C,RTM,RTM,20GP,7,3,0.404,0.19,0.258,0.823
SHP_00104,CUS_C,HKG,LAX,40GP,10,1,0.222,0.297,0.088,0.906
SHP_00105,CUS_A,RTM,HAM,45HC,24,1,0.274,0.612,0.625,0.858
SHP_00106,CUS_A,SHA,SHA,40GP,9,0,0.227,0.41,0.373,0.652
SHP_00107,CUS_D,HKG,RTM,45HC,6,0,0.749,0.179,0.063,0.903
SHP_00108,CUS_D,HKG,PUS,45HC,25,0,0.665,0.723,0.089,0.664
SHP_00109,CUS_C,SIN,HAM,45HC,10,3,0.16,0.347,0.102,0.793
SHP_00110,CUS_D,SIN,SGN,40HC,24,0,0.198,0.089,0.511,0.487
SHP_00111,CUS_C,HKG,HKG,20GP,8,1,0.283,0.239,0.125,0.848
SHP_00112,CUS_D,HAM,LAX,45HC,28,2,0.478,0.427,0.091,0.78
SHP_00113,CUS_D,LAX,RTM,40GP,28,3,0.528,0.515,0.635,0.494
SHP_00114,CUS_B,PUS,SGN,40GP,13,1,0.138,0.636,0.113,0.776
SHP_00115,CUS_A,HAM,RTM,45HC,8,0,0.172,0.233,0.51,0.494
SHP_00116,CUS_A,SHA,SHA,45HC,23,1,0.333,0.276,0.067,0.636
SHP_00117,CUS_C,PUS,LAX,40HC,19,0,0.34,0.142,0.316,0.383
SHP_00118,CUS_A,PUS,HKG,40GP,26,0,0.607,0.315,0.419,0.756
SHP_00119,CUS_B,HAM,HAM,20GP,20,3,0.491,0.658,0.584,0.656
SHP_00120,CUS_C,HAM,PUS,40GP,11,1,0.476,0.674,0.128,0.835
SHP_00121,CUS_A,SHA,HKG,45HC,1,1,0.458,0.708,0.17,0.838
SHP_00122,CUS_D,LAX,SHA,20GP,5,2,0.226,0.22,0.403,0.696
SHP_00123,CUS_A,SGN,SHA,40GP,10,2,0.16,0.394,0.132,0.81
SHP_00124,CUS_B,PUS,PUS,40HC,11,3,0.523,0.566,0.337,0.559
SHP_00125,CUS_D,PUS,SIN,20GP,10,1,0.865,0.544,0.301,0.458
SHP_00126,CUS_B,HKG,SGN,20GP,25,3,0.075,0.279,0.22,0.556
SHP_00127,CUS_A,HKG,PUS,40GP,16,3,0.363,0.343,0.239,0.6
SHP_00128,CUS_A,RTM,SHA,40GP,13,1,0.485,0.303,0.3,0.747
SHP_00129,CUS_D,RTM,SGN,20GP,4,0,0.459,0.174,0.233,0.516
SHP_00130,CUS_C,HKG,RTM,45HC,17,1,0.482,0.327,0.459,0.975
SHP_00131,CUS_C,HKG,SGN,20GP,4,1,0.415,0.267,0.247,0.9
SHP_00132,CUS_B,HAM,RTM,40HC,13,0,0.497,0.54,0.163,0.503
SHP_00133,CUS_C,SHA,SGN,40GP,4,2,0.369,0.237,0.368,0.808
SHP_00134,CUS_C,SGN,HAM,45HC,25,2,0.616,0.178,0.195,0.735
SHP_00135,CUS_B,SHA,SIN,45HC,9,3,0.258,0.526,0.225,0.815
SHP_00136,CUS_D,PUS,LAX,20GP,13,2,0.458,0.365,0.172,0.545
SHP_00137,CUS_B,LAX,SIN,20GP,6,0,0.155,0.258,0.173,0.768
SHP_00138,CUS_C,LAX,SIN,40HC,13,0,0.226,0.018,0.4,0.887
SHP_00139,CUS_B,HAM,RTM,40GP,4,0,0.389,0.26,0.103,0.742
SHP_00140,CUS_A,HKG,HAM,45HC,24,2,0.351,0.628,0.151,0.752
SHP_00141,CUS_A,SIN,HAM,40HC,17,3,0.474,0.283,0.021,0.482
SHP_00142,CUS_D,SGN,PUS,40HC,7,2,0.226,0.057,0.19,0.962
SHP_00143,CUS_A,HAM,PUS,45HC,8,1,0.059,0.602,0.234,0.838
SHP_00144,CUS_D,HKG,LAX,20GP,29,1,0.305,0.527,0.311,0.656
SHP_00145,CUS_B,LAX,HKG,40HC,2,1,0.164,0.159,0.185,0.921
SHP_00146,CUS_B,HAM,PUS,45HC,16,0,0.216,0.178,0.704,0.913
SHP_00147,CUS_B,RTM,HKG,40HC,23,3,0.16,0.643,0.295,0.951
SHP_00148,CUS_A,HKG,HAM,45HC,22,1,0.315,0.338,0.166,0.868
SHP_00149,CUS_A,SIN,SHA,40GP,3,1,0.107,0.364,0.321,0.888
SHP_00150,CUS_D,SGN,RTM,20GP,28,2,0.291,0.728,0.087,0.762
SHP_00151,CUS_C,HKG,HAM,40HC,26,2,0.607,0.506,0.528,0.489
SHP_00152,CUS_B,HKG,HKG,40GP,18,2,0.362,0.354,0.09,0.708
SHP_00153,CUS_A,HAM,LAX,40HC,8,0,0.561,0.052,0.248,0.715
SHP_00154,CUS_C,HAM,HKG,20GP,28,1,0.137,0.111,0.086,0.892
SHP_00155,CUS_B,SHA,HAM,45HC,29,2,0.29,0.414,0.092,0.623
SHP_00156,CUS_C,SIN,SGN,40HC,8,1,0.517,0.345,0.177,0.659
SHP_00157,CUS_B,SIN,LAX,40GP,13,2,0.47,0.46,0.235,0.838
SHP_00158,CUS_C,SHA,SHA,40GP,26,1,0.236,0.05,0.1,0.88
SHP_00159,CUS_C,HKG,SIN,20GP,19,2,0.602,0.783,0.313,0.727
SHP_00160,CUS_D,SGN,RTM,45HC,15,3,0.458,0.443,0.446,0.82
SHP_00161,CUS_C,HAM,SIN,40GP,10,2,0.313,0.341,0.366,0.486
SHP_00162,CUS_B,SGN,SGN,20GP,7,2,0.432,0.035,0.146,0.609
SHP_00163,CUS_A,SIN,LAX,40HC,2,1,0.448,0.32,0.201,0.73
SHP_00164,CUS_B,SHA,RTM,20GP,18,3,0.196,0.502,0.243,0.799
SHP_00165,CUS_A,LAX,PUS,40GP,24,0,0.176,0.13,0.821,0.859
SHP_00166,CUS_A,SHA,RTM,20GP,25,2,0.307,0.351,0.742,0.86
SHP_00167,CUS_A,LAX,HKG,45HC,9,2,0.443,0.169,0.301,0.672
SHP_00168,CUS_A,SHA,PUS,20GP,18,0,0.655,0.539,0.25,0.605
SHP_00169,CUS_A,SHA,HKG,45HC,17,0,0.362,0.415,0.094,0.373
SHP_00170,CUS_D,HAM,HKG,40HC,10,2,0.367,0.35,0.379,0.802
SHP_00171,CUS_D,PUS,HAM,40HC,23,3,0.471,0.271,0.189,0.6
SHP_00172,CUS_C,SIN,HAM,40GP,12,0,0.43,0.361,0.385,0.851
SHP_00173,CUS_D,PUS,PUS,45HC,3,3,0.215,0.361,0.206,0.624
SHP_00174,CUS_D,SIN,HKG,40HC,18,0,0.251,0.206,0.369,0.69
SHP_00175,CUS_D,HAM,HAM,20GP,5,0,0.416,0.283,0.154,0.825
SHP_00176,CUS_A,LAX,HAM,40HC,1,3,0.376,0.5,0.22,0.715
SHP_00177,CUS_C,RTM,PUS,40GP,11,2,0.402,0.587,0.327,0.611
SHP_00178,CUS_A,SIN,LAX,40HC,18,1,0.379,0.569,0.522,0.837
SHP_00179,CUS_C,RTM,PUS,20GP,14,1,0.836,0.15,0.353,0.9
SHP_00180,CUS_B,SGN,SIN,20GP,15,3,0.276,0.277,0.356,0.797
SHP_00181,CUS_B,SGN,LAX,40HC,28,1,0.941,0.122,0.467,0.646
SHP_00182,CUS_A,HAM,HKG,45HC,8,1,0.343,0.529,0.094,0.393
SHP_00183,CUS_C,SHA,RTM,40HC,11,0,0.54,0.281,0.114,0.754
SHP_00184,CUS_D,SHA,PUS,40GP,23,2,0.627,0.171,0.273,0.982
SHP_00185,CUS_D,PUS,HAM,20GP,24,1,0.591,0.47,0.375,0.598
SHP_00186,CUS_D,HAM,SGN,40GP,23,3,0.419,0.548,0.399,0.852
SHP_00187,CUS_B,SHA,SGN,20GP,8,3,0.285,0.316,0.293,0.831
SHP_00188,CUS_C,SGN,SHA,20GP,5,2,0.512,0.42,0.264,0.392
SHP_00189,CUS_A,SHA,SIN,45HC,16,2,0.28,0.129,0.142,0.583
SHP_00190,CUS_C,SHA,HKG,20GP,2,0,0.364,0.309,0.114,0.725
SHP_00191,CUS_C,HAM,SHA,45HC,11,3,0.597,0.253,0.17,0.914
SHP_00192,CUS_B,SIN,LAX,20GP,14,3,0.395,0.532,0.076,0.711
SHP_00193,CUS_A,LAX,PUS,20GP,26,1,0.321,0.328,0.042,0.745
SHP_00194,CUS_C,HAM,SHA,40GP,24,3,0.469,0.098,0.361,0.902
SHP_00195,CUS_D,RTM,SGN,40GP,13,2,0.204,0.648,0.529,0.783
SHP_00196,CUS_D,SGN,HAM,45HC,14,0,0.744,0.286,0.128,0.347
SHP_00197,CUS_D,PUS,RTM,20GP,17,0,0.124,0.449,0.208,0.603
SHP_00198,CUS_D,PUS,HKG,40GP,10,1,0.185,0.394,0.307,0.792
SHP_00199,CUS_C,PUS,LAX,40GP,25,1,0.48,0.21,0.049,0.744
SHP_00200,CUS_B,RTM,SHA,40GP,1,1,0.592,0.32,0.036,0.761
SHP_00201,CUS_C,HAM,LAX,20GP,27,2,0.087,0.332,0.345,0.746
SHP_00202,CUS_C,RTM,HKG,40GP,9,2,0.781,0.562,0.175,0.466
SHP_00203,CUS_B,RTM,LAX,40GP,19,2,0.449,0.442,0.196,0.923
SHP_00204,CUS_A,HAM,PUS,40HC,15,3,0.325,0.275,0.402,0.943
SHP_00205,CUS_C,SIN,HKG,20GP,12,1,0.178,0.563,0.004,0.877
SHP_00206,CUS_C,PUS,SGN,40HC,8,3,0.311,0.442,0.129,0.942
SHP_00207,CUS_B,LAX,LAX,45HC,28,3,0.338,0.414,0.377,0.555
SHP_00208,CUS_D,SHA,HAM,20GP,26,3,0.1,0.133,0.15,0.817
SHP_00209,CUS_D,LAX,SIN,20GP,27,2,0.6,0.203,0.058,0.648
SHP_00210,CUS_B,RTM,SGN,45HC,24,2,0.28,0.157,0.295,0.894
SHP_00211,CUS_A,SGN,SIN,40HC,10,3,0.198,0.114,0.156,0.49
SHP_00212,CUS_B,SHA,HKG,20GP,6,1,0.489,0.403,0.089,0.926
SHP_00213,CUS_C,PUS,RTM,40GP,16,0,0.255,0.109,0.036,0.769
SHP_00214,CUS_D,SGN,HAM,20GP,23,2,0.331,0.501,0.303,0.699
SHP_00215,CUS_C,RTM,SIN,45HC,9,3,0.468,0.015,0.064,0.918
SHP_00216,CUS_C,HAM,HAM,45HC,20,3,0.189,0.204,0.307,0.904
SHP_00217,CUS_A,SIN,RTM,20GP,11,0,0.4,0.145,0.158,0.462
SHP_00218,CUS_C,RTM,RTM,40GP,20,2,0.179,0.342,0.41,0.787
SHP_00219,CUS_B,HKG,SHA,45HC,19,2,0.028,0.642,0.415,0.77
SHP_00220,CUS_B,HAM,SGN,45HC,4,0,0.29,0.502,0.076,0.742
SHP_00221,CUS_C,RTM,SGN,20GP,13,2,0.48,0.341,0.275,0.743
SHP_00222,CUS_C,SHA,HAM,40GP,28,1,0.679,0.28,0.084,0.786
SHP_00223,CUS_A,PUS,SIN,45HC,8,3,0.411,0.211,0.28,0.745
SHP_00224,CUS_D,LAX,SHA,40GP,23,3,0.298,0.304,0.226,0.925
SHP_00225,CUS_B,HAM,HKG,40HC,16,1,0.372,0.594,0.229,0.897
SHP_00226,CUS_D,RTM,RTM,20GP,24,0,0.298,0.036,0.476,0.754
SHP_00227,CUS_B,HAM,LAX,20GP,8,0,0.394,0.089,0.242,0.57
SHP_00228,CUS_D,RTM,SGN,40HC,4,3,0.461,0.609,0.094,0.668
SHP_00229,CUS_A,SGN,PUS,20GP,20,3,0.378,0.257,0.261,0.882
SHP_00230,CUS_D,RTM,SGN,45HC,5,0,0.451,0.207,0.282,0.698
SHP_00231,CUS_B,HKG,HAM,40HC,23,1,0.432,0.335,0.271,0.832
SHP_00232,CUS_D,PUS,PUS,40GP,6,1,0.269,0.629,0.187,0.919
SHP_00233,CUS_A,SIN,HAM,40GP,15,2,0.627,0.352,0.233,0.716
SHP_00234,CUS_B,RTM,LAX,20GP,10,0,0.563,0.707,0.445,0.66
SHP_00235,CUS_D,SIN,HKG,45HC,12,0,0.156,0.43,0.287,0.584
SHP_00236,CUS_D,LAX,HKG,20GP,15,1,0.869,0.454,0.234,0.752
SHP_00237,CUS_B,LAX,SHA,40GP,20,0,0.557,0.037,0.254,0.66
SHP_00238,CUS_D,SGN,SHA,20GP,5,0,0.407,0.332,0.04,0.798
SHP_00239,CUS_D,LAX,SGN,45HC,12,3,0.629,0.428,0.458,0.917
SHP_00240,CUS_C,LAX,LAX,20GP,2,3,0.425,0.05,0.374,0.862
SHP_00241,CUS_C,LAX,PUS,40GP,29,0,0.23,0.126,0.289,0.669
SHP_00242,CUS_A,PUS,LAX,40GP,26,3,0.367,0.038,0.161,0.831
SHP_00243,CUS_D,RTM,SIN,40GP,25,1,0.143,0.344,0.585,0.765
SHP_00244,CUS_B,HKG,LAX,20GP,29,0,0.099,0.769,0.435,0.764
SHP_00245,CUS_D,SIN,SHA,40HC,15,0,0.324,0.373,0.128,0.784
SHP_00246,CUS_A,LAX,SIN,45HC,5,1,0.033,0.288,0.368,0.258
SHP_00247,CUS_D,HKG,HKG,20GP,15,2,0.354,0.42,0.319,0.873
SHP_00248,CUS_B,SHA,SGN,20GP,15,1,0.186,0.316,0.185,0.652
SHP_00249,CUS_D,HKG,PUS,40GP,15,1,0.163,0.886,0.363,0.903
SHP_00250,CUS_D,PUS,SHA,40GP,6,1,0.154,0.383,0.284,0.79
SHP_00251,CUS_C,SGN,SIN,40GP,15,1,0.371,0.428,0.17,0.898
SHP_00252,CUS_A,HKG,SGN,20GP,17,0,0.619,0.074,0.443,0.571
SHP_00253,CUS_A,RTM,SHA,45HC,3,3,0.422,0.714,0.544,0.818
SHP_00254,CUS_C,LAX,PUS,40GP,10,1,0.257,0.325,0.568,0.834
SHP_00255,CUS_D,RTM,SHA,45HC,12,0,0.28,0.351,0.486,0.396
SHP_00256,CUS_A,SIN,SIN,40HC,28,3,0.677,0.597,0.064,0.811
SHP_00257,CUS_A,RTM,SHA,20GP,8,0,0.425,0.144,0.158,0.944
SHP_00258,CUS_C,HAM,SGN,40HC,23,1,0.582,0.418,0.104,0.809
SHP_00259,CUS_C,SIN,SHA,20GP,12,2,0.261,0.227,0.513,0.928
SHP_00260,CUS_B,RTM,PUS,45HC,11,1,0.64,0.283,0.19,0.516
SHP_00261,CUS_A,HKG,HKG,45HC,9,0,0.218,0.24,0.326,0.86
SHP_00262,CUS_D,SIN,SIN,40GP,12,0,0.592,0.669,0.093,0.78
SHP_00263,CUS_A,SIN,HKG,40HC,27,2,0.195,0.486,0.323,0.892
SHP_00264,CUS_A,SIN,LAX,45HC,26,2,0.532,0.677,0.155,0.948
SHP_00265,CUS_C,HAM,HKG,20GP,5,3,0.215,0.055,0.272,0.894
SHP_00266,CUS_A,LAX,HKG,45HC,15,1,0.57,0.532,0.027,0.578
SHP_00267,CUS_C,PUS,PUS,40GP,25,3,0.55,0.464,0.127,0.943
SHP_00268,CUS_D,PUS,HAM,40HC,6,1,0.137,0.104,0.168,0.731
SHP_00269,CUS_C,SIN,SHA,45HC,16,3,0.296,0.405,0.103,0.649
SHP_00270,CUS_B,LAX,LAX,40GP,12,0,0.544,0.097,0.249,0.856
SHP_00271,CUS_D,SIN,PUS,40HC,22,3,0.408,0.325,0.546,0.859
SHP_00272,CUS_B,RTM,HKG,45HC,28,2,0.419,0.136,0.201,0.915
SHP_00273,CUS_A,HKG,RTM,40HC,25,0,0.325,0.499,0.643,0.491
SHP_00274,CUS_C,LAX,SHA,20GP,23,0,0.45,0.301,0.307,0.874
SHP_00275,CUS_D,LAX,HKG,45HC,10,0,0.308,0.336,0.195,0.923
SHP_00276,CUS_C,SHA,PUS,40HC,5,3,0.018,0.229,0.279,0.753
SHP_00277,CUS_A,PUS,SGN,45HC,5,1,0.223,0.359,0.214,0.903
SHP_00278,CUS_A,HAM,PUS,45HC,22,2,0.793,0.438,0.14,0.887
SHP_00279,CUS_D,RTM,LAX,40HC,27,2,0.407,0.782,0.413,0.962
SHP_00280,CUS_B,HAM,LAX,40GP,15,2,0.033,0.63,0.295,0.708
SHP_00281,CUS_C,PUS,HKG,40HC,8,0,0.464,0.252,0.287,0.876
SHP_00282,CUS_A,PUS,LAX,40HC,28,2,0.829,0.234,0.213,0.817
SHP_00283,CUS_B,SHA,SHA,40GP,8,3,0.381,0.055,0.18,0.744
SHP_00284,CUS_D,SHA,HKG,20GP,3,0,0.781,0.194,0.244,0.878
SHP_00285,CUS_B,PUS,SGN,45HC,14,2,0.26,0.475,0.159,0.549
SHP_00286,CUS_D,HKG,PUS,40HC,15,3,0.726,0.393,0.205,0.845
SHP_00287,CUS_A,RTM,SGN,40HC,4,0,0.451,0.455,0.3,0.875
SHP_00288,CUS_C,SHA,HAM,40HC,27,1,0.471,0.249,0.258,0.678
SHP_00289,CUS_B,LAX,SIN,40GP,10,3,0.412,0.563,0.264,0.675
SHP_00290,CUS_D,RTM,SIN,20GP,7,0,0.633,0.273,0.194,0.72
SHP_00291,CUS_A,SHA,HKG,45HC,16,0,0.28,0.113,0.143,0.703
SHP_00292,CUS_A,RTM,HKG,45HC,4,1,0.534,0.221,0.472,0.69
SHP_00293,CUS_C,RTM,LAX,40GP,25,0,0.698,0.275,0.145,0.601
SHP_00294,CUS_B,LAX,PUS,20GP,9,1,0.779,0.293,0.457,0.908
SHP_00295,CUS_C,SIN,SGN,45HC,2,1,0.197,0.594,0.286,0.957
SHP_00296,CUS_D,HAM,SHA,20GP,18,2,0.558,0.322,0.346,0.363
SHP_00297,CUS_D,SGN,HKG,20GP,27,2,0.665,0.415,0.09,0.751
SHP_00298,CUS_D,HAM,PUS,40HC,11,0,0.809,0.204,0.317,0.919
SHP_00299,CUS_D,LAX,PUS,45HC,14,2,0.425,0.327,0.026,0.63
SHP_00300,CUS_B,SHA,HAM,20GP,20,1,0.487,0.163,0.183,0.86
SHP_00301,CUS_D,HAM,RTM,40HC,24,1,0.552,0.261,0.417,0.901
SHP_00302,CUS_A,HKG,SHA,40HC,4,2,0.231,0.142,0.153,0.847
SHP_00303,CUS_A,SIN,HKG,40HC,26,0,0.58,0.41,0.202,0.693
SHP_00304,CUS_A,HAM,PUS,45HC,26,3,0.63,0.575,0.201,0.866
SHP_00305,CUS_C,SIN,SIN,20GP,16,2,0.323,0.605,0.45,0.304
SHP_00306,CUS_B,SHA,SIN,40GP,16,0,0.764,0.49,0.159,0.603
